Time,X,Y,Z,Height,Temper,Laser Power,Powder Gas,Coaxial Gas,Shield Gas,Feeder1,Feeder2,Feeder3
12_14:54:27.030,0.000,0.000,0.000,0.000,900.000,0.000,-0.016,-0.038,0.181,0,0,0
12_14:54:27.301,0.000,0.000,0.000,0.000,900.000,0.000,-0.017,12.499,0.215,0,0,0
12_14:54:27.618,0.000,0.000,0.000,0.000,900.000,0.000,-0.015,0.005,0.196,424875,0,0
12_14:54:29.093,0.000,0.000,0.000,0.000,900.000,0.000,2.765,9.061,0.184,1616,0,0
12_14:54:29.910,0.000,0.000,0.000,0.000,900.000,0.000,3.097,9.031,0.186,289,0,0
12_14:54:30.203,0.000,0.000,0.000,0.000,900.000,0.000,3.058,9.026,0.183,176,0,0
12_14:54:30.503,0.000,0.000,0.000,0.000,900.000,0.000,3.017,9.024,0.186,483,0,0
12_14:54:30.845,0.000,0.000,0.000,0.000,900.000,0.000,3.002,9.023,0.189,564,0,0
12_14:54:31.132,0.000,0.000,0.000,0.000,900.000,0.000,3.000,9.008,0.187,403,0,0
12_14:54:31.424,0.000,0.000,0.000,0.000,900.000,0.000,3.004,9.014,0.190,477,0,0
12_14:54:31.708,0.000,0.000,0.000,0.000,900.000,0.000,3.006,9.008,0.190,487,0,0
12_14:54:32.006,0.000,0.000,0.000,0.000,900.000,0.000,3.009,9.018,0.183,477,0,0
12_14:54:32.312,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.014,0.184,475,0,0
12_14:54:32.567,0.000,0.000,0.000,0.000,900.000,0.000,3.009,9.010,0.184,482,0,0
12_14:54:32.913,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.002,0.189,577,0,0
12_14:54:33.195,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.011,0.186,396,0,0
12_14:54:33.473,0.000,0.000,0.000,0.000,900.000,0.000,3.007,9.010,0.187,475,0,0
12_14:54:33.776,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.009,0.188,484,0,0
12_14:54:34.063,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.005,0.183,482,0,0
12_14:54:34.350,0.000,0.000,0.000,0.000,900.000,0.000,3.004,9.005,0.183,475,0,0
12_14:54:34.651,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.011,0.182,483,0,0
12_14:54:35.015,0.000,0.000,0.000,0.000,900.000,0.000,3.003,9.006,0.187,577,0,0
12_14:54:35.300,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.006,0.189,394,0,0
12_14:54:35.586,0.000,0.000,0.000,0.000,900.000,0.000,3.007,9.014,0.185,485,0,0
12_14:54:35.930,0.000,0.000,0.000,0.000,900.000,0.000,3.008,9.006,0.186,561,0,0
12_14:54:36.221,0.000,0.000,0.000,0.000,900.000,0.000,3.009,9.011,0.190,406,0,0
12_14:54:36.507,0.343,0.000,0.000,0.000,900.000,0.000,3.005,9.011,0.189,481,0,0
